ID,Mode,Auditory,Gender,Age_1,competence,intelligence,thoughtful,composite_intellect,humanness,novel,unique,composite_novelty,Stimulus,RecommendationFollowed
2121,Auditory-Human,1,2,25,3,6,6,5,8,6,7,6.5,Beer,0
2122,Visual-Handwritten,0,2,26,8,7,6,7,7,7,7,7,Beer,0
2123,Auditory-Human,1,1,30,8,9,9,8.666666667,9,8,7,7.5,Beer,1
2124,Auditory-Computer,1,1,26,5,6,6,5.666666667,8,5,5,5,Beer,1
2125,Auditory-Computer,1,1,35,7,7,7,7,2,7,7,7,Beer,1
2126,Auditory-Computer,1,2,48,3,5,5,4.333333333,1,4,3,3.5,Beer,0
2127,Auditory-Human,1,2,24,5,5,5,5,8,1,1,1,Beer,0
2128,Auditory-Human,1,2,33,7,7,7,7,9,4,4,4,Beer,1
2129,Auditory-Human,1,2,28,9,9,9,9,8,8,9,8.5,Beer,1
2130,Auditory-Human,1,2,22,7,7,2,5.333333333,9,6,1,3.5,Beer,1
2131,Auditory-Computer,1,1,19,8,7,8,7.666666667,9,4,1,2.5,Beer,0
2132,Auditory-Human,1,1,24,2,4,1,2.333333333,7,1,1,1,Beer,0
2133,Auditory-Human,1,2,55,3,5,3,3.666666667,3,3,4,3.5,Beer,0
2134,Auditory-Computer,1,1,35,3,5,5,4.333333333,5,5,5,5,Beer,0
2135,Auditory-Human,1,1,21,8,8,9,8.333333333,6,3,4,3.5,Beer,1
2136,Visual-Handwritten,0,1,25,4,5,1,3.333333333,9,3,3,3,Beer,1
2137,Auditory-Computer,1,2,61,5,5,5,5,8,8,8,8,Beer,0
2138,Visual-Handwritten,0,1,38,5,5,5,5,5,7,7,7,Beer,0
2139,Auditory-Computer,1,1,27,9,5,6,6.666666667,1,4,6,5,Beer,1
2140,Auditory-Computer,1,1,21,7,4,6,5.666666667,9,5,3,4,Beer,1
2141,Auditory-Computer,1,2,18,6,5,2,4.333333333,8,5,1,3,Beer,1
2142,Auditory-Computer,1,1,40,8,7,7,7.333333333,6,6,7,6.5,Beer,1
2143,Auditory-Human,1,1,27,5,7,7,6.333333333,7,6,1,3.5,Beer,1
2144,Auditory-Human,1,1,26,7,5,3,5,7,4,6,5,Beer,1
2145,Visual-Handwritten,0,2,66,7,7,8,7.333333333,8,7,7,7,Beer,1
2146,Auditory-Computer,1,2,18,4,3,3,3.333333333,6,5,2,3.5,Beer,0
2147,Visual-Handwritten,0,2,52,5,5,5,5,1,4,4,4,Beer,1
2148,Visual-Handwritten,0,1,48,5,5,5,5,2,2,2,2,Beer,0
2149,Auditory-Human,1,1,42,9,9,9,9,7,9,9,9,Beer,1
2150,Auditory-Computer,1,2,28,5,4,1,3.333333333,5,5,3,4,Beer,0
2151,Auditory-Human,1,1,25,9,9,8,8.666666667,9,3,7,5,Beer,1
2152,Visual-Handwritten,0,2,48,8,8,8,8,5,9,9,9,Beer,0
2153,Auditory-Human,1,1,24,5,5,4,4.666666667,5,6,2,4,Beer,0
2154,Auditory-Computer,1,2,19,5,3,3,3.666666667,1,1,1,1,Beer,0
2155,Auditory-Computer,1,1,26,5,5,4,4.666666667,9,7,7,7,Beer,1
2156,Auditory-Human,1,1,29,9,9,6,8,7,7,5,6,Beer,1
2157,Visual-Handwritten,0,1,23,6,7,7,6.666666667,6,4,3,3.5,Beer,1
2158,Visual-Handwritten,0,2,68,6,6,7,6.333333333,5,5,5,5,Beer,0
2159,Visual-Handwritten,0,1,20,7,5,5,5.666666667,9,6,6,6,Beer,1
2160,Auditory-Human,1,2,33,8,6,7,7,3,5,5,5,Beer,1
2161,Visual-Handwritten,0,2,27,6,4,4,4.666666667,6,5,6,5.5,Beer,0
2162,Auditory-Computer,1,1,31,6,5,3,4.666666667,7,7,9,8,Beer,0
2163,Auditory-Human,1,2,24,6,6,6,6,9,9,8,8.5,Beer,0
2164,Visual-Handwritten,0,1,52,6,6,6,6,8,5,5,5,Beer,1
2165,Auditory-Human,1,1,55,7,7,5,6.333333333,3,3,5,4,Beer,1
2166,Auditory-Human,1,2,48,5,5,5,5,7,6,3,4.5,Beer,0
2167,Auditory-Computer,1,1,44,4,4,5,4.333333333,9,1,2,1.5,Beer,0
2168,Visual-Handwritten,0,1,53,5,5,4,4.666666667,6,3,2,2.5,Beer,1
2169,Visual-Handwritten,0,1,30,7,5,7,6.333333333,6,7,6,6.5,Beer,1
2170,Auditory-Computer,1,2,22,5,9,9,7.666666667,1,9,8,8.5,Beer,0
2171,Auditory-Computer,1,1,44,7,7,8,7.333333333,7,7,7,7,Beer,1
2172,Visual-Handwritten,0,1,32,8,8,7,7.666666667,7,7,7,7,Beer,0
2173,Visual-Handwritten,0,2,20,7,7,7,7,5,5,5,5,Beer,1
2174,Visual-Handwritten,0,1,18,3,4,4,3.666666667,6,3,1,2,Beer,0
2175,Visual-Handwritten,0,2,19,7,6,7,6.666666667,1,6,6,6,Beer,1
2176,Auditory-Human,1,2,19,5,5,5,5,5,2,2,2,Beer,1
2177,Auditory-Human,1,1,20,9,9,9,9,9,9,8,8.5,Beer,1
2178,Auditory-Human,1,1,30,5,5,5,5,5,5,1,3,Beer,1
2179,Auditory-Human,1,2,28,7,8,6,7,9,3,2,2.5,Beer,0
2180,Visual-Handwritten,0,2,27,8,7,8,7.666666667,7,5,7,6,Beer,1
2181,Auditory-Computer,1,1,26,1,1,1,1,5,7,9,8,Beer,0
2182,Auditory-Computer,1,1,33,4,5,3,4,4,5,4,4.5,Beer,0
2183,Auditory-Computer,1,2,35,5,4,5,4.666666667,7,5,6,5.5,Beer,1
2184,Auditory-Computer,1,1,18,9,6,5,6.666666667,8,3,3,3,Beer,1
2185,Auditory-Computer,1,2,36,3,2,2,2.333333333,1,3,3,3,Beer,0
2186,Auditory-Human,1,1,20,6,5,7,6,8,6,6,6,Beer,1
2187,Visual-Handwritten,0,1,30,7,7,8,7.333333333,5,8,7,7.5,Beer,1
2188,Auditory-Computer,1,1,28,6,7,7,6.666666667,1,6,4,5,Beer,0
2189,Visual-Handwritten,0,1,25,4,5,5,4.666666667,6,6,6,6,Beer,0
2190,Auditory-Computer,1,1,26,7,8,8,7.666666667,2,7,7,7,Beer,1
2191,Visual-Handwritten,0,1,32,5,5,6,5.333333333,7,2,2,2,Beer,0
2192,Auditory-Human,1,2,19,7,5,6,6,7,7,5,6,Beer,1
2193,Visual-Handwritten,0,2,23,5,6,5,5.333333333,9,5,7,6,Beer,1
2194,Auditory-Human,1,2,23,7,7,8,7.333333333,8,6,7,6.5,Beer,1
2195,Auditory-Computer,1,1,28,6,4,3,4.333333333,2,2,3,2.5,Beer,1
2196,Auditory-Human,1,1,27,4,4,5,4.333333333,7,2,2,2,Beer,0
2197,Auditory-Human,1,2,47,5,4,2,3.666666667,1,5,4,4.5,Beer,0
2198,Auditory-Computer,1,2,32,9,9,9,9,9,9,9,9,Beer,1
2199,Auditory-Human,1,2,32,4,5,5,4.666666667,3,1,1,1,Beer,0
2200,Auditory-Computer,1,1,75,5,5,6,5.333333333,4,5,6,5.5,Beer,0
2201,Auditory-Human,1,1,22,6,5,6,5.666666667,3,3,6,4.5,Beer,1
2202,Visual-Handwritten,0,1,30,8,9,8,8.333333333,8,8,6,7,Beer,1
2203,Auditory-Human,1,2,37,5,5,5,5,9,1,1,1,Beer,0
2204,Visual-Handwritten,0,1,20,8,9,7,8,9,7,9,8,Beer,0
2205,Visual-Handwritten,0,1,19,6,5,5,5.333333333,5,5,5,5,Beer,0
2206,Auditory-Computer,1,1,29,6,7,6,6.333333333,3,7,8,7.5,Beer,0
2207,Auditory-Human,1,2,20,7,7,7,7,5,1,1,1,Beer,1
2208,Visual-Handwritten,0,1,36,6,6,4,5.333333333,8,4,3,3.5,Beer,0
2209,Visual-Handwritten,0,2,24,6,6,7,6.333333333,9,8,5,6.5,Beer,1
2210,Auditory-Computer,1,2,18,7,7,5,6.333333333,5,9,8,8.5,Beer,0
2211,Auditory-Human,1,1,24,9,9,9,9,8,5,5,5,Beer,0
2212,Auditory-Computer,1,1,27,7,7,7,7,7,7,5,6,Beer,1
2213,Auditory-Computer,1,2,31,6,5,4,5,8,7,6,6.5,Beer,0
2214,Visual-Handwritten,0,2,30,8,7,8,7.666666667,8,7,6,6.5,Beer,1
2215,Auditory-Computer,1,2,66,6,6,6,6,5,7,7,7,Beer,0
2216,Visual-Handwritten,0,2,25,5,4,5,4.666666667,9,9,8,8.5,Beer,1
2217,Auditory-Human,1,1,26,5,5,5,5,1,1,1,1,Beer,0
2218,Auditory-Human,1,2,20,7,4,7,6,7,4,5,4.5,Beer,1
2219,Auditory-Computer,1,1,42,9,9,9,9,1,6,6,6,Beer,1
2220,Auditory-Human,1,2,21,3,4,4,3.666666667,6,6,7,6.5,Beer,0
2221,Auditory-Computer,1,1,41,3,3,3,3,3,2,2,2,Beer,1
2222,Auditory-Human,1,2,20,6,5,5,5.333333333,8,5,4,4.5,Beer,0
2223,Visual-Handwritten,0,1,28,6,6,3,5,2,4,4,4,Beer,0
2224,Visual-Handwritten,0,2,37,5,5,5,5,4,6,6,6,Beer,0
2225,Auditory-Computer,1,2,29,3,2,2,2.333333333,1,3,3,3,Beer,0
2226,Visual-Handwritten,0,2,25,8,6,9,7.666666667,9,7,6,6.5,Beer,0
2227,Visual-Handwritten,0,2,47,5,5,3,4.333333333,4,2,2,2,Beer,0
2228,Visual-Handwritten,0,2,27,9,9,9,9,9,9,8,8.5,Beer,1
2229,Auditory-Human,1,2,24,8,6,7,7,7,8,7,7.5,Beer,0
2230,Visual-Handwritten,0,2,23,3,2,6,3.666666667,8,3,5,4,Beer,0
2231,Auditory-Computer,1,2,60,6,6,5,5.666666667,5,8,8,8,Beer,1
2232,Auditory-Computer,1,2,39,6,6,6,6,4,1,1,1,Beer,1
2233,Auditory-Computer,1,1,29,6,6,4,5.333333333,1,8,1,4.5,Beer,1
2234,Auditory-Human,1,2,28,3,3,2,2.666666667,2,1,1,1,Beer,0
2235,Visual-Handwritten,0,3,20,5,5,5,5,5,6,6,6,Beer,0
2236,Auditory-Human,1,1,20,7,7,7,7,5,1,1,1,Beer,1
2237,Auditory-Human,1,2,47,7,7,7,7,8,9,9,9,Beer,0
2238,Auditory-Human,1,2,31,8,9,4,7,9,4,1,2.5,Beer,1
2239,Visual-Handwritten,0,1,22,8,9,7,8,9,7,8,7.5,Beer,0
2240,Auditory-Computer,1,1,24,8,8,8,8,3,8,7,7.5,Beer,1
2241,Visual-Handwritten,0,1,45,7,7,7,7,7,7,7,7,Beer,1
2242,Auditory-Human,1,1,33,1,1,1,1,9,1,1,1,Beer,0
2243,Auditory-Human,1,2,30,9,9,9,9,9,9,9,9,Beer,1
2244,Visual-Handwritten,0,2,33,6,6,6,6,1,6,6,6,Beer,0
2245,Visual-Handwritten,0,1,22,6,5,5,5.333333333,4,6,6,6,Beer,1
2246,Visual-Handwritten,0,1,38,5,5,5,5,5,3,3,3,Beer,0
2247,Auditory-Computer,1,2,26,5,4,4,4.333333333,5,5,7,6,Beer,0
2248,Auditory-Computer,1,1,34,4,5,4,4.333333333,5,7,8,7.5,Beer,1
2249,Auditory-Computer,1,2,27,4,4,5,4.333333333,1,1,1,1,Beer,1
2250,Visual-Handwritten,0,1,39,5,7,6,6,5,5,5,5,Beer,0
2251,Auditory-Computer,1,1,36,5,6,5,5.333333333,8,8,8,8,Beer,1
2252,Visual-Handwritten,0,2,58,6,5,5,5.333333333,7,7,8,7.5,Beer,0
2253,Visual-Handwritten,0,2,30,6,6,7,6.333333333,3,4,1,2.5,Beer,0
2254,Auditory-Human,1,1,20,8,8,9,8.333333333,6,4,3,3.5,Beer,1
2255,Auditory-Human,1,1,30,8,7,9,8,8,7,8,7.5,Beer,1
2256,Auditory-Human,1,1,47,8,8,8,8,8,8,8,8,Beer,1
2257,Auditory-Computer,1,1,20,4,4,3,3.666666667,1,6,5,5.5,Beer,0
2258,Auditory-Computer,1,1,22,7,6,7,6.666666667,7,7,4,5.5,Beer,1
2259,Auditory-Human,1,2,21,7,5,6,6,5,7,7,7,Beer,1
2260,Visual-Handwritten,0,1,25,8,9,8,8.333333333,8,8,9,8.5,Beer,1
2261,Visual-Handwritten,0,2,28,7,7,7,7,4,3,3,3,Beer,1
2262,Auditory-Computer,1,2,20,5,4,2,3.666666667,8,2,4,3,Beer,1
2263,Visual-Handwritten,0,1,49,4,5,5,4.666666667,4,3,3,3,Beer,0
2264,Visual-Handwritten,0,1,51,6,5,4,5,9,2,2,2,Beer,1
2265,Auditory-Human,1,2,21,2,2,4,2.666666667,8,7,7,7,Beer,1
2266,Visual-Handwritten,0,1,22,2,2,2,2,6,6,7,6.5,Beer,0
2267,Auditory-Human,1,2,60,8,7,7,7.333333333,4,2,1,1.5,Beer,0
2268,Auditory-Computer,1,2,33,5,5,5,5,3,4,6,5,Beer,0
2269,Visual-Handwritten,0,2,45,5,5,5,5,1,5,5,5,Beer,0
2270,Auditory-Computer,1,1,21,6,7,6,6.333333333,1,8,7,7.5,Beer,0
2271,Auditory-Computer,1,1,37,3,4,3,3.333333333,3,1,1,1,Beer,0
2272,Auditory-Human,1,1,31,9,9,9,9,8,1,1,1,Beer,0
2273,Auditory-Human,1,2,21,5,5,6,5.333333333,9,8,8,8,Beer,1
2274,Auditory-Human,1,1,33,8,7,7,7.333333333,8,2,7,4.5,Beer,1
2275,Auditory-Computer,1,2,28,7,7,7,7,9,6,7,6.5,Beer,1
2276,Auditory-Human,1,1,48,6,6,6,6,5,7,7,7,Beer,0
2277,Auditory-Human,1,2,32,7,7,7,7,6,5,5,5,Beer,1
2278,Auditory-Computer,1,3,22,9,9,9,9,7,6,4,5,Beer,1
2279,Auditory-Human,1,2,24,9,9,9,9,9,9,8,8.5,Beer,1
2280,Auditory-Computer,1,1,34,6,3,6,5,9,1,1,1,Beer,1
2281,Visual-Handwritten,0,2,20,6,6,6,6,5,7,4,5.5,Beer,0
2282,Visual-Handwritten,0,2,31,8,7,6,7,6,7,6,6.5,Beer,1
2283,Auditory-Computer,1,2,77,5,5,5,5,2,1,1,1,Beer,1
2284,Auditory-Human,1,2,29,5,5,4,4.666666667,4,4,4,4,Beer,0
2285,Auditory-Computer,1,2,24,2,3,1,2,1,6,9,7.5,Beer,0
2286,Auditory-Computer,1,1,33,6,6,5,5.666666667,8,6,7,6.5,Beer,1
2287,Auditory-Human,1,1,25,6,7,4,5.666666667,8,5,5,5,Beer,0
2288,Auditory-Human,1,2,23,8,5,4,5.666666667,9,2,4,3,Beer,0
2289,Auditory-Computer,1,2,28,8,8,7,7.666666667,8,6,6,6,Beer,0
2290,Visual-Handwritten,0,2,24,4,3,3,3.333333333,4,2,2,2,Beer,0
2291,Auditory-Computer,1,2,20,3,3,3,3,3,3,3,3,Beer,0
2292,Visual-Handwritten,0,3,36,4,5,4,4.333333333,5,1,1,1,Beer,1
2293,Auditory-Computer,1,2,72,8,8,9,8.333333333,6,8,8,8,Beer,0
2294,Auditory-Human,1,2,45,8,7,7,7.333333333,8,5,5,5,Beer,0
2295,Visual-Handwritten,0,2,46,7,9,8,8,2,6,8,7,Beer,1
2296,Visual-Handwritten,0,2,21,4,5,2,3.666666667,6,3,1,2,Beer,1
2297,Visual-Handwritten,0,2,37,6,6,6,6,5,6,7,6.5,Beer,0
2298,Auditory-Computer,1,2,27,9,9,9,9,1,9,9,9,Beer,1
2299,Auditory-Computer,1,2,22,8,8,5,7,1,1,4,2.5,Beer,1
2300,Auditory-Computer,1,2,24,7,6,3,5.333333333,7,3,3,3,Beer,0
2301,Visual-Handwritten,0,1,31,8,8,7,7.666666667,7,7,6,6.5,Beer,1
2302,Auditory-Human,1,2,39,7,7,7,7,5,5,4,4.5,Beer,0
2303,Auditory-Human,1,2,30,5,5,5,5,9,1,1,1,Beer,1
2304,Visual-Handwritten,0,2,29,5,5,7,5.666666667,5,7,7,7,Beer,1
2305,Auditory-Human,1,2,25,8,8,8,8,1,8,8,8,Beer,1
2306,Visual-Handwritten,0,2,21,7,6,7,6.666666667,5,4,4,4,Beer,0
2307,Auditory-Human,1,2,32,9,9,9,9,8,8,9,8.5,Beer,1
2308,Auditory-Human,1,1,21,6,5,5,5.333333333,5,1,1,1,Beer,1
2309,Visual-Handwritten,0,2,20,3,5,3,3.666666667,8,6,6,6,Beer,1
2310,Visual-Handwritten,0,1,35,9,8,7,8,7,8,7,7.5,Beer,1
2311,Visual-Handwritten,0,2,34,5,5,5,5,5,6,6,6,Beer,0
2312,Auditory-Computer,1,1,18,3,3,5,3.666666667,4,2,1,1.5,Beer,0
2313,Auditory-Computer,1,1,30,8,8,8,8,8,7,7,7,Beer,0
2314,Auditory-Human,1,2,30,7,7,8,7.333333333,7,7,7,7,Beer,1
2315,Visual-Handwritten,0,1,25,6,6,6,6,6,8,8,8,Beer,0
2316,Auditory-Computer,1,1,20,5,5,5,5,6,4,4,4,Beer,0
2317,Auditory-Computer,1,2,31,5,6,4,5,5,4,4,4,Beer,0
2318,Auditory-Human,1,2,18,4,6,6,5.333333333,5,2,2,2,Beer,0
2319,Auditory-Computer,1,1,40,9,9,9,9,9,8,9,8.5,Beer,1
2320,Auditory-Human,1,2,19,5,5,3,4.333333333,6,2,1,1.5,Beer,1
2321,Auditory-Computer,1,1,39,8,8,8,8,7,4,3,3.5,Beer,0
2322,Visual-Handwritten,0,2,34,7,7,9,7.666666667,5,6,5,5.5,Beer,0
2323,Auditory-Human,1,1,28,6,6,6,6,3,7,7,7,Beer,0
2324,Visual-Handwritten,0,1,18,6,5,6,5.666666667,7,4,3,3.5,Beer,0
2325,Auditory-Human,1,2,30,8,8,8,8,3,8,8,8,Beer,1
2326,Visual-Handwritten,0,1,27,6,6,7,6.333333333,6,6,5,5.5,Beer,1
2327,Auditory-Human,1,1,27,7,7,7,7,1,6,6,6,Beer,1
2328,Auditory-Computer,1,1,35,8,8,8,8,9,9,9,9,Beer,1
2329,Auditory-Computer,1,1,63,1,1,1,1,5,7,7,7,Beer,1
2330,Auditory-Human,1,2,22,7,7,6,6.666666667,3,6,6,6,Beer,0
2331,Visual-Handwritten,0,2,26,7,7,7,7,7,7,7,7,Beer,1
2332,Auditory-Computer,1,1,25,7,7,7,7,7,5,6,5.5,Beer,1
2333,Auditory-Computer,1,1,18,4,4,4,4,4,5,1,3,Beer,0
2334,Visual-Handwritten,0,2,30,7,8,7,7.333333333,8,8,7,7.5,Beer,1
2335,Auditory-Human,1,1,21,6,5,7,6,7,3,4,3.5,Beer,1
2336,Auditory-Human,1,1,24,6,5,5,5.333333333,7,7,5,6,Beer,1
2337,Visual-Handwritten,0,2,40,6,6,6,6,4,7,6,6.5,Beer,1
2338,Auditory-Computer,1,1,40,7,8,8,7.666666667,9,5,7,6,Beer,1
2339,Auditory-Computer,1,2,52,7,7,8,7.333333333,2,8,8,8,Beer,1
2340,Auditory-Human,1,1,25,7,6,5,6,8,3,3,3,Beer,0
2341,Auditory-Human,1,1,34,8,7,5,6.666666667,5,6,5,5.5,Beer,1
2342,Visual-Handwritten,0,2,19,5,5,1,3.666666667,5,5,1,3,Beer,0
2343,Auditory-Human,1,2,28,6,5,5,5.333333333,2,7,7,7,Beer,0
2344,Auditory-Computer,1,2,30,2,2,1,1.666666667,1,9,9,9,Beer,0
2345,Auditory-Computer,1,2,78,5,4,4,4.333333333,1,5,3,4,Beer,0
2346,Auditory-Human,1,1,51,5,6,6,5.666666667,3,7,3,5,Beer,1
2347,Visual-Handwritten,0,2,31,3,3,6,4,7,5,3,4,Beer,0
2348,Auditory-Computer,1,2,18,6,9,7,7.333333333,5,3,5,4,Beer,1
2349,Visual-Handwritten,0,2,22,6,6,6,6,4,9,9,9,Beer,0
2350,Auditory-Human,1,1,20,6,5,3,4.666666667,7,6,1,3.5,Beer,0
2351,Visual-Handwritten,0,2,28,8,8,8,8,9,6,6,6,Beer,0
2352,Auditory-Computer,1,1,40,9,9,9,9,1,9,9,9,Beer,1
2353,Visual-Handwritten,0,2,36,5,5,5,5,5,5,5,5,Beer,1
2354,Auditory-Human,1,2,30,9,9,9,9,9,9,8,8.5,Beer,1
2355,Auditory-Computer,1,2,34,5,5,5,5,5,1,1,1,Restaurant,0
2356,Visual-Handwritten,0,2,40,1,1,1,1,5,3,1,2,Restaurant,0
2357,Auditory-Human,1,1,64,5,5,5,5,9,2,2,2,Restaurant,1
2358,Auditory-Computer,1,1,39,2,2,2,2,7,2,2,2,Restaurant,0
2359,Auditory-Human,1,2,39,5,5,5,5,4,1,5,3,Restaurant,0
2360,Visual-Handwritten,0,1,40,6,6,4,5.333333333,4,5,7,6,Restaurant,0
2361,Auditory-Computer,1,1,65,9,6,9,8,5,8,7,7.5,Restaurant,0
2362,Visual-Handwritten,0,1,71,5,5,5,5,4,3,3,3,Restaurant,0
2363,Auditory-Human,1,2,18,6,5,5,5.333333333,3,6,3,4.5,Restaurant,1
2364,Auditory-Human,1,1,27,5,5,4,4.666666667,7,5,6,5.5,Restaurant,1
2365,Visual-Handwritten,0,2,26,5,6,4,5,2,6,5,5.5,Restaurant,0
2366,Auditory-Computer,1,1,19,4,5,5,4.666666667,5,3,2,2.5,Restaurant,0
2367,Auditory-Computer,1,1,20,3,3,3,3,1,3,3,3,Restaurant,1
2368,Auditory-Human,1,1,24,7,7,5,6.333333333,2,1,1,1,Restaurant,1
2369,Visual-Handwritten,0,2,21,7,5,7,6.333333333,5,5,3,4,Restaurant,0
2370,Auditory-Human,1,1,54,6,6,6,6,9,5,6,5.5,Restaurant,0
2371,Visual-Handwritten,0,1,23,5,6,7,6,5,3,5,4,Restaurant,1
2372,Auditory-Computer,1,1,25,5,6,6,5.666666667,4,5,5,5,Restaurant,1
2373,Visual-Handwritten,0,2,27,5,5,5,5,9,5,5,5,Restaurant,0
2374,Auditory-Computer,1,1,20,7,8,9,8,5,6,7,6.5,Restaurant,1
2375,Auditory-Human,1,2,29,7,7,7,7,4,6,6,6,Restaurant,0
2376,Auditory-Human,1,2,27,6,5,5,5.333333333,7,7,8,7.5,Restaurant,1
2377,Auditory-Computer,1,2,18,4,4,5,4.333333333,3,4,1,2.5,Restaurant,0
2378,Auditory-Human,1,2,29,6,7,7,6.666666667,9,7,7,7,Restaurant,1
2379,Visual-Handwritten,0,2,31,7,7,8,7.333333333,3,6,6,6,Restaurant,0
2380,Visual-Handwritten,0,1,25,8,8,7,7.666666667,4,7,7,7,Restaurant,1
2381,Auditory-Computer,1,2,23,5,5,5,5,1,8,8,8,Restaurant,0
2382,Auditory-Human,1,2,46,5,6,7,6,6,5,6,5.5,Restaurant,1
2383,Visual-Handwritten,0,1,22,7,7,8,7.333333333,9,6,6,6,Restaurant,1
2384,Auditory-Computer,1,1,32,2,5,2,3,1,1,1,1,Restaurant,0
2385,Auditory-Computer,1,2,54,5,6,5,5.333333333,2,5,5,5,Restaurant,0
2386,Auditory-Human,1,2,68,7,5,5,5.666666667,8,1,1,1,Restaurant,1
2387,Auditory-Computer,1,2,22,5,4,4,4.333333333,3,1,2,1.5,Restaurant,1
2388,Auditory-Human,1,2,25,5,5,5,5,9,6,4,5,Restaurant,1
2389,Auditory-Computer,1,2,22,3,2,2,2.333333333,4,3,2,2.5,Restaurant,0
2390,Auditory-Computer,1,2,49,7,7,6,6.666666667,7,7,5,6,Restaurant,1
2391,Auditory-Human,1,2,29,9,9,8,8.666666667,8,6,7,6.5,Restaurant,1
2392,Visual-Handwritten,0,2,21,5,5,5,5,5,6,6,6,Restaurant,1
2393,Auditory-Computer,1,2,21,6,5,4,5,3,5,4,4.5,Restaurant,1
2394,Visual-Handwritten,0,1,19,3,3,7,4.333333333,6,7,7,7,Restaurant,0
2395,Auditory-Human,1,1,21,9,9,9,9,7,9,9,9,Restaurant,1
2396,Auditory-Human,1,2,23,8,7,7,7.333333333,7,7,2,4.5,Restaurant,0
2397,Visual-Handwritten,0,2,21,3,5,3,3.666666667,5,3,3,3,Restaurant,0
2398,Visual-Handwritten,0,1,37,6,6,5,5.666666667,5,5,4,4.5,Restaurant,0
2399,Visual-Handwritten,0,2,19,4,5,4,4.333333333,1,5,3,4,Restaurant,0
2400,Auditory-Human,1,2,19,7,7,7,7,6,5,5,5,Restaurant,1
2401,Auditory-Computer,1,2,33,4,5,3,4,1,6,5,5.5,Restaurant,0
2402,Visual-Handwritten,0,2,28,6,5,4,5,1,7,7,7,Restaurant,0
2403,Visual-Handwritten,0,2,24,7,6,6,6.333333333,5,6,7,6.5,Restaurant,0
2404,Auditory-Human,1,2,18,6,6,6,6,5,6,7,6.5,Restaurant,1
2405,Visual-Handwritten,0,1,18,5,5,6,5.333333333,6,3,2,2.5,Restaurant,0
2406,Auditory-Computer,1,1,24,5,5,4,4.666666667,3,3,3,3,Restaurant,0
2407,Auditory-Computer,1,1,30,5,6,6,5.666666667,1,5,7,6,Restaurant,1
2408,Visual-Handwritten,0,2,22,7,5,7,6.333333333,5,1,1,1,Restaurant,0
2409,Auditory-Human,1,2,44,7,7,7,7,5,5,7,6,Restaurant,1
2410,Visual-Handwritten,0,1,31,5,5,5,5,5,7,7,7,Restaurant,0
2411,Auditory-Computer,1,1,29,7,7,7,7,9,5,5,5,Restaurant,1
2412,Auditory-Computer,1,2,59,5,7,5,5.666666667,2,2,2,2,Restaurant,0
2413,Auditory-Human,1,2,18,2,4,4,3.333333333,4,4,2,3,Restaurant,1
2414,Auditory-Computer,1,2,24,4,5,2,3.666666667,5,6,6,6,Restaurant,0
2415,Auditory-Human,1,1,23,4,4,4,4,9,4,3,3.5,Restaurant,1
2416,Auditory-Human,1,1,41,8,9,8,8.333333333,8,9,8,8.5,Restaurant,1
2417,Auditory-Human,1,2,19,6,6,6,6,5,8,8,8,Restaurant,1
2418,Auditory-Computer,1,2,21,6,6,6,6,4,6,6,6,Restaurant,0
2419,Auditory-Computer,1,1,29,6,6,5,5.666666667,1,7,5,6,Restaurant,1
2420,Visual-Handwritten,0,1,19,4,3,3,3.333333333,4,6,5,5.5,Restaurant,0
2421,Auditory-Computer,1,2,20,6,5,6,5.666666667,6,5,4,4.5,Restaurant,0
2422,Visual-Handwritten,0,1,76,7,7,5,6.333333333,6,7,6,6.5,Restaurant,0
2423,Visual-Handwritten,0,2,31,4,5,5,4.666666667,1,1,1,1,Restaurant,0
2424,Visual-Handwritten,0,2,33,4,5,6,5,7,6,5,5.5,Restaurant,0
2425,Auditory-Computer,1,1,19,5,5,7,5.666666667,2,3,2,2.5,Restaurant,0
2426,Auditory-Computer,1,1,47,8,9,9,8.666666667,9,8,9,8.5,Restaurant,1
2427,Auditory-Human,1,3,28,6,6,5,5.666666667,7,6,6,6,Restaurant,1
2428,Auditory-Human,1,1,56,3,5,4,4,5,1,1,1,Restaurant,0
2429,Auditory-Human,1,2,38,5,5,5,5,2,1,1,1,Restaurant,0
2430,Auditory-Human,1,1,18,3,3,3,3,9,1,1,1,Restaurant,0
2431,Visual-Handwritten,0,2,19,6,6,6,6,4,4,4,4,Restaurant,0
2432,Visual-Handwritten,0,1,39,1,3,4,2.666666667,4,6,6,6,Restaurant,0
2433,Auditory-Human,1,1,33,7,6,7,6.666666667,5,6,7,6.5,Restaurant,0
2434,Auditory-Human,1,2,22,8,8,8,8,6,5,2,3.5,Restaurant,0
2435,Auditory-Computer,1,1,27,5,5,5,5,1,6,6,6,Restaurant,0
2436,Auditory-Computer,1,2,19,4,6,7,5.666666667,9,6,3,4.5,Restaurant,0
2437,Visual-Handwritten,0,1,22,3,4,4,3.666666667,5,8,8,8,Restaurant,0
2438,Auditory-Human,1,1,42,9,9,9,9,9,9,8,8.5,Restaurant,1
2439,Visual-Handwritten,0,2,41,6,7,7,6.666666667,6,6,7,6.5,Restaurant,1
2440,Auditory-Computer,1,1,19,5,5,3,4.333333333,2,4,4,4,Restaurant,1
